"timeStamp","posterID","name","postID","subjectText","commentText","filename"
"08/07/18(Tue)10:39:04","No ID","Anonymous","102124191","No Subject Text Provided","<a href=""#p102124151"" class=""quotelink"">&gt;&gt;102124151</a>","turtle eating - 1533652744836.webm"
"08/07/18(Tue)10:39:43","No ID","Anonymous","102124213","No Subject Text Provided","<a href=""#p102123493"" class=""quotelink"">&gt;&gt;102123493</a><br>I truly believe a lot of species of jungle animals have gone extinct since planet earth was filmed, humans are a disease.","No File Posted"
"08/07/18(Tue)10:39:52","No ID","Anonymous","102124218","No Subject Text Provided","<a href=""#p102123032"" class=""quotelink"">&gt;&gt;102123032</a><br>upvoted xD","No File Posted"
"08/07/18(Tue)10:40:06","No ID","Anonymous","102124224","No Subject Text Provided","<a href=""#p102124165"" class=""quotelink"">&gt;&gt;102124165</a><br><span class=""quote"">&gt;will it fit 2 hunchbacks?</span><br><span class=""quote"">&gt;hunchback...people!?</span>","No File Posted"
"08/07/18(Tue)10:40:43","No ID","Anonymous","102124242","No Subject Text Provided","technically a whale","sandoaquamonster_01_156_f74ea1d7 - 1533652843144.jpg"
"08/07/18(Tue)10:42:42","No ID","Anonymous","102124307","No Subject Text Provided","<a href=""#p102123302"" class=""quotelink"">&gt;&gt;102123302</a><br><span class=""quote"">&gt;Females may reach 2 m (6.6 ft) in length, whereas the males are 2.4 cm.</span><br>Jesus Christ... an entire species full of manlets.","No File Posted"
"08/07/18(Tue)10:46:58","No ID","Anonymous","102124430","No Subject Text Provided","<a href=""#p102124165"" class=""quotelink"">&gt;&gt;102124165</a><br><span class=""quote"">&gt;another rescue movie</span><br><span class=""quote"">&gt;shits directly on whaler&#039;s face</span>","No File Posted"
"08/07/18(Tue)10:50:53","No ID","Anonymous","102124537","No Subject Text Provided","<a href=""#p102121790"" class=""quotelink"">&gt;&gt;102121790</a><br>Based and redpilled","No File Posted"
"08/07/18(Tue)10:51:42","No ID","Anonymous","102124559","No Subject Text Provided","<a href=""#p102119086"" class=""quotelink"">&gt;&gt;102119086</a><br>Wales arent real","No File Posted"
"08/07/18(Tue)10:52:40","No ID","Anonymous","102124582","No Subject Text Provided","<a href=""#p102124242"" class=""quotelink"">&gt;&gt;102124242</a><br>is it wearing trouser?","No File Posted"
"08/07/18(Tue)10:54:58","No ID","Anonymous","102124657","No Subject Text Provided","<a href=""#p102124242"" class=""quotelink"">&gt;&gt;102124242</a><br>Your mom&#039;s technically a whale...","No File Posted"
"08/07/18(Tue)10:58:22","No ID","Anonymous","102124765","No Subject Text Provided","<a href=""#p102124559"" class=""quotelink"">&gt;&gt;102124559</a><br>This. They&#039;re just laughing at us now<br><span class=""quote"">&gt;&quot;Oh there&#039;s this giant aquatic creature that&#039;s as big as school bus and weighs even more but it survived by eating Krill!&quot;</span>","No File Posted"
"08/07/18(Tue)11:04:57","No ID","Anonymous","102124947","No Subject Text Provided","<a href=""#p102120186"" class=""quotelink"">&gt;&gt;102120186</a><br>t. cunty shark","No File Posted"
"08/07/18(Tue)11:05:50","No ID","Anonymous","102124976","No Subject Text Provided","<a href=""#p102120186"" class=""quotelink"">&gt;&gt;102120186</a><br>ok retard","No File Posted"
"08/07/18(Tue)11:06:00","No ID","Anonymous","102124983","No Subject Text Provided","<a href=""#p102121723"" class=""quotelink"">&gt;&gt;102121723</a><br>... on earth","No File Posted"
"08/07/18(Tue)11:09:14","No ID","Anonymous","102125049","No Subject Text Provided","<a href=""#p102123725"" class=""quotelink"">&gt;&gt;102123725</a><br>I know you people love boat <br>But to me Big Whale is the only whale movie that&#039;s not filled up with boats to the point of boring","1E299743-D00C-4356-881C-A14CF7AF5258 - 1533654554025.jpg"
"08/07/18(Tue)11:09:56","No ID","Anonymous","102125063","No Subject Text Provided","<a href=""#p102123361"" class=""quotelink"">&gt;&gt;102123361</a><br>that can&#039;t be eeal","No File Posted"
"08/07/18(Tue)11:12:33","No ID","Anonymous","102125140","No Subject Text Provided","<a href=""#p102125063"" class=""quotelink"">&gt;&gt;102125063</a><br>Of course it&#039;s not an eel. It&#039;s a ray silly.","No File Posted"
"08/07/18(Tue)11:12:39","No ID","Anonymous","102125144","No Subject Text Provided","https://www.youtube.com/watch?v=xJD<wbr>8MT1Jfs8<br>https://www.youtube.com/watch?v=JAP<wbr>Hl151KhM","No File Posted"
"08/07/18(Tue)11:13:13","No ID","Anonymous","102125159","No Subject Text Provided","<a href=""#p102124191"" class=""quotelink"">&gt;&gt;102124191</a><br>based","No File Posted"
"08/07/18(Tue)11:15:07","No ID","Anonymous","102125212","No Subject Text Provided","<a href=""#p102119086"" class=""quotelink"">&gt;&gt;102119086</a><br>Literally a movie about whales","07F7DDFE-F66D-4D4F-A1E8-C9A6C4CC7255 - 1533654907633.jpg"
"08/07/18(Tue)11:15:55","No ID","Anonymous","102125236","No Subject Text Provided","<a href=""#p102124947"" class=""quotelink"">&gt;&gt;102124947</a><br>Sharks are pretty cool man.","shark kiss - 1533654955684.webm"
"08/07/18(Tue)11:15:58","No ID","Anonymous","102125240","No Subject Text Provided","<a href=""#p102125140"" class=""quotelink"">&gt;&gt;102125140</a><br>oh you got me there <br>real*","No File Posted"
"08/07/18(Tue)11:19:44","No ID","Anonymous","102125332","No Subject Text Provided","<a href=""#p102125236"" class=""quotelink"">&gt;&gt;102125236</a><br>fucking sweet <br>that diver has ice in his veins","No File Posted"
